|Travel and travel dollar flow into and out of the United States|Tourist trade -- United States -- Statistics -- Periodicals.||v. ; 27 cm.|[Washington, D.C.] : The Office,.|||Description based on: Dec. 1968; title from caption.|||
A 0004221842 B(1979); Type EXP SRLF for loan|Guide to travel and residence expenses for the multinational executive.|Voyages and travels -- 1951- -- Guide-books.||v. 22 cm.|[Cambridge, Mass., Travel and Living Costs Worldwide, inc.]|||"The businessman's guide to living costs and conditions worldwide.".|Companion volume to: Multinational executive travel companion, ISSN 0093-7487, and to: Businessman's guide to the Arab world and Iran, ISSN 0147-7722. Businessman's guide to the Arab world and Iran.|Key title: Guide to travel and residence expenses for the multinational executive.|
A0510 1978-|gPopulationg Travel to School.||United States. Bureau of the Census.||||||||
A1139 for issues received, consult library|[Population] Selected Characteristics of Travel to Work in.||United States. Bureau of the Census.||Washingon, D.C.|||In numbered series: Current Population Reports, Special Studies, Series P-23.|||
AP4 .W45 1-7, Apr.1898-Sept.1901; AT NRLF: In|The Wide World Magazine.||||London.||||||
C 47.20: LIBRARY HAS: MIC.YR.1986/87|Review of Ustta International Markets and Cooperative Advertising Opportunities.||||Washington, D.C. : U.S. Travel and Tourism Administration, U.S. Dept. of Commerce.||||Continued by: MARKETING U.S. TOURISM ABROAD.||.
Call # varies Hum/SS Ref|Funding for research, study and travel: the People's Republic of China.||Wallen, Denise.||Phoenix AZ: Oryx Press.||||||
D 0001581149 B(1967/68); Type EXP SRLF for loan|United Kingdom & Eire travel trade directory.|Tourist trade -- British Isles -- Directories.||28 cm.|[London, TTG Publications etc.]|1958-|||Continued by: United Kingdom & Ireland travel trade directory.|Travel trade directory 1958-<71>.|
D 0005924337 B(1973-77); Type EXP SRLF for loan|Culture statistics, travel to work|Migrations alternantes -- Canada -- Statistiques -- Periodiques.||1 v. ; 28 cm.|Ottawa : Statistics Canada = Statistique Canada, 1979.|1st issue (1973/1977).||Texte en anglais et en francais.|Continued by: Travel to work. Culture statistics, travel to work,.|Abbreviated title: Cult. stat., Travel work. Key title: Culture statistics. Travel to work. Statistiques de la culture, deplacements entre le domicile et le lieu de travail.|CS87-502.
D 0005924345 B(1976); Type EXP SRLF for loan|Culture statistics, recreational activities|Sports -- Canada -- Statistiques -- Periodiques. Loisirs -- Canada -- Statistiques -- Periodiques.||1 v. ; 28 cm.|Ottawa : Statistics Canada = Statistique Canada, 1978.|1st issue (1976).||Texte en francais et en anglais.||Abbreviated title: Cult. stat., Recreat. act. Key title: Culture statistics. Recreational activities. Statistiques de la culture, activites recreatives.|CS87-501.
D 0006430946 B(1962/3-63/4).B(1965/66)B(1967/8)|Report of passenger travel between the United States and foreign countries, by United States and foreign flag of carrier.|||v.|[Washington, D.C.] : U.S. Immigration and Naturalization Service,.|||Description based on: Year ended June 30, 1963; title from caption.|||
D1 .C5585 v.13 (1958),v.15 (1960)-v.18 (1963),|Coming events in Britain.|Amusements -- Great Britain -- Periodicals. Great Britain -- Description and travel -- Guidebooks.||v. : ill. ; 28 cm.|London : Travel Association-Tourist Division of the British Tourist and Holidays Board, -1966.|-Nov. 1966.Began in May 1949.||Description based on: Mar. 1950. Imprint varies. Issued <Mar. 1950>-Apr. 1950 by the British Tourist and Holidays Board; May 1950-<Dec. 1954> by the British Travel and Holidays Association; <Jan. 1959>-Nov. 1966 by the British Travel Association.|Continues: Coming events in the British Isles. Continued by: In Britain.||
D909 A18 Stacks 1954-55.|A.A.T.A. travel guide book "Key to Europe.".|Europe -- Description & travel -- Guide-books.||v. illus.|London, Anglo-American Tourist Service Association.||||||
D909 A2 Stacks 1959.|Aboard and abroad.|Europe -- Guidebooks.||v. : ill. ; 20 cm.|Chicago : Harved Pub., c1953-|1954-||||Olson's complete travel guide to Europe 1957-|
DA 650 C73 BN67-116(1935-39)SER2.B(1951-65)BNJAN.-|Coming events in Britain.|Amusements -- Great Britain. Great Britain -- Guidebooks.|||London, 1930-1966.|no. 1-116, Mar. 1930-Sept. 1939; new ser., no. 1- Apr.||Notes. Suspended Oct. 1939-Mar. 1946. Issued by the Travel Association of the United Kingdom of Great Britain and Northern Ireland.|Title varies: Coming events in Great Britain and Ireland. Mar. 1930-Sept. 1939. Title varies: Coming events in the British Isles. Apr. 1946-Dec. 1952. Continued by: In Britain.||
DF30 .A16 BOUND 1925-1926|Tours in ancient Greece.|Greece -- Guidebooks.|"Acropolis" Tourist & Travel Bureau, Athens.||Athens.||||||
DF716 .G75 BOUND 1964; AT NRLF: In NRLF|Greece|Greece -- Guidebooks.||v. : col. maps. ; 24 cm.|New York : Fisher Travel Guides : Distributed in the U.S.A. and Canada by New American Library, c1983-|83/84-|1988- : Fisher's World travel guides. 83/84-1986: Fisher annotated travel guides.|Edited and annotated by R.C. Fisher. Imprint varies, 1988- : Laporte, PA : Fisher's World, Inc. At head of title, 1988- : Fisher's World. No vol. published for 1987.|Issues for 1988- include section: Greece travel planner, which is also available separately. Greece travel planner.|Abbreviated title: Greece (N.Y. N.Y., 1984). Key title: Greece (New York, N.Y. 1984).|
DS801 .T65 BOUND 136(OCT 1936)-137(NOV 1936),|The Travel bulletin.|Nippon Yusen Kaisha. Travel -- Periodicals.||v. ill. (incl. parts., maps., plans, facsims.) 26 cm.|Tokyo.|||Published monthly by the Passenger Dept. of the N.Y.K. line.|||
DU80 .W3 1-37, 1934-71; AT NRLF: 17-27,|Walkabout.|Australia -- Description and travel -- Periodicals.||v. ill., maps. 34 cm.|Melbourne, Australian National Travel Association [etc.]|Current frequency: Monthly.||"Australia's way of life magazine.". Vols. for <, Oct. 1942-Sept. 1954> issued by the Australian National Publicity Association; Oct. 1954- by the Australian National Travel Association. "Journal of the Australian Geographical Society <, Dec. 1943->.|||
E 0000599845 B(1964-73); Type EXP SRLF for loan|Immigration and Naturalization Service reports of passenger travel between the United States and foreign countries.|Ocean travel -- Statistics -- Periodicals. Air travel -- Statistics -- Periodicals.|United States. Immigration and Naturalization Service.|28 cm.|Washington, Dept. of Justice, Immigration and Naturalization Service.|Current frequency: Monthly, with semi-annual and annual||Tables. Cover title.|Continued by: U.S. international air travel statistics.|Key title: Immigration and Naturalization Service reports of passenger travel between the United States and foreign countries.|.
F 106 M713n B(1969)|Mobil travel guide. Northeastern states; good food, lodging, and sightseeing.|New York (State) -- Guidebooks. New England -- Guidebooks.||v. : maps ; 20 cm.|New York : Simon and Shuster,.|||Description based on: 1962/63.|Continues: Mobil travel guide; good food, lodging and sightseeing in: Connecticut, Maine, Massachusetts, New Hampshire, New York, Rhode Island, Vermont. Continued by: Mobil travel guide: Northeastern States.|Key title: Mobil travel guide. Northeastern states. Northeastern states.|
F 2.3 M6 Ref CURRENT YEAR ONLY.|Mobil travel guide. Northeast.|Hotels -- Canada -- Guidebooks. Hotels -- Northeastern States -- Guidebooks. Restaurants -- Canada -- Guidebooks. Restaurants -- Northeastern States -- Guidebooks. Canada -- Guidebooks. Northeastern States -- Guidebooks.||v. : ill. ; 24-28 cm.|New York, NY : Prentice Hall, 1989-|1989-||Published in collaboration with: Mobil Oil Corporation.|Continues: Mobil travel guide. Northeastern States.|Abbreviated title: Mobil travel guide, Northeast. Key title: Mobil travel guide. Northeast. Northeast.|
F 207.3 M59 Ref CURRENT YEAR ONLY.|Mobil travel guide. Southeast.|Southern States -- Guidebooks.||v. : ill. ; 28 cm.|New York, NY : Prentice Hall, 1989-|1989-||Published in collaboration with: Mobil Oil Corporation.|Continues: Mobil travel guide: Southeastern States.|Abbreviated title: Mobil travel guide, Southeast. Key title: Mobil travel guide. Southeast. Southeast.|
F 207.3 M713s B(1965).B(1969); Type EXP SRLF for loan|Mobil travel guide: Southeastern States.|Southern States -- Guide-books.|||New York, Simon and Schuster.|1965-||Title varies slightly.|||
F 207.3 M713so B(1960).B(1965).B(1969); Type EXP SRLF|Mobil travel guide. Southwest and South Central area.|Southern States -- Guidebooks. Southwest -- Guidebooks.|||New York.|1958/59-|||Title varies: Mobil guide: Arkansas, Louisiana, New Mexico, Oklahoma, Texas. Title varies: Mobil travel guide: South Central & Southwestern States. Southwest and South Central area includes: Arkansas, Colorado, Kansas, Louisiana, Missouri, New Mexico, Oklahoma, and Texas.|Southwest and South Central area.|
F 551 M713 B(1969); Type EXP SRLF for loan|Mobil travel guide. Great Lakes area; good food, lodging, and sightseeing.|Great Lakes region -- Guidebooks.||v. : maps ; 20 cm.|New York : Simon and Schuster,.|1961-||Description based on: 1961.|Continued by: Mobil travel guide: Great Lakes area.|Key title: Mobil travel guide. Great Lakes area. Great Lakes area.|
F 597 M7 Ref CURRENT YEAR ONLY.|Mobil travel guide. Northwest and Great Plains States.|Great Plains -- Guidebooks. Northwestern States -- Guidebooks.||v. : ill., maps ; 28 cm.|Chicago, IL : Rand McNally,.|Began with: 1962/63.||Description based on: 1983. Section title varies slightly, 1989- : Northwest and Great Plains. Vols. for <1988-> published: New York, N.Y. : Prentice Hall Press. Published in collaboration with Mobil Oil Corporation, <1978->.||Abbreviated title: Mobil travel guide, Northwest Great Plains States. Key title: Mobil travel guide. Northwest and Great Plains States. Northwest and Great Plains. Northwest and Great Plains States.|
F106 .M67 BOUND 1969|Mobil travel guide: Middle Atlantic States.|Middle Atlantic States -- Guidebooks.||v. maps. 21-28 cm.|New York, Prentice Hall Press [etc.]|1962/63-||Section title varies slightly, 1989- : Middle Atlantic. Vols. for <1978-> published in collaboration with the Mobil Oil Corporation.||Abbreviated title: Mobil travel guide, Middle Atl. States. Key title: Mobil travel guide. Middle Atlantic States. Middle Atlantic. Middle Atlantic States.|
F2.3 .M6 BOUND 1969|Mobil travel guide. Northeastern States.|Northeastern States -- Guidebooks.||v. : ill. ; 28 cm.|New York : Simon and Shuster,.|-1988.||Description based on: 1962/63. Published: New York : Rand McNally in collaboration with the Mobil Oil Corporation, <1978>-1988; New York, N.Y. : Prentice Hall Press, 1988.|Continues: Mobil travel guide; good food, lodging and sightseeing in: Connecticut, Maine, Massachusetts, New Hampshire, New York, Rhode Island, Vermont. Continued by: Mobil travel guide. Northeast.|Abbreviated title: Mobil travel guide, Northeast. States. Key title: Mobil travel guide. Northeastern States. Northeastern States.|
F207.3 .M59 BOUND 1969|Mobil travel guide: Southeastern States.|Southern States -- Guidebooks.||v. ill. 21-28 cm.|[New York] Prentice Hall Press [etc.]|-1988.||Vols. for <1977>-1988 published in collaboration with the Mobil Oil Corporation.|Continues: Mobil travel guide: good food, lodging, and sightseeing in Southeastern States. Continued by: Mobil travel guide. Southeast.|Abbreviated title: Mobil travel guide, Southeast. States. Key title: Mobil travel guide. Southeastern States. Southeastern States.|
